Genera	0_Rhamnoid	0_Ziziphoid	1_Ventilageneae	1_restofRham	1_Gouaniae	1_restofZizi	2_Rhamnus	2_RestofRham	2_Colubrina	2_RestofZizi	3_ScutnSage	3_RestofRham	3_CeanAlp	3_RestofZizi	4_Berchemia	4_RestofRham	4_Hovenia	4_RestofZizi	5_Krugiodendron	5_RestofRham	6_Alphitonia	6_Bercemia	6_Ceanothus	6_Colubrina	6-Gouania	6_Hovenia	6_Karwinskia	6_Krugiodendron	6_Paliurus	6_Rhamnella	6_Rhamnus	6_Sageretia	6_Scutia	6_Ventilago	6_Ziziphus
Ziziphus attopensis (59)	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ziziphus cambodiana (60)	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ziziphus funiculosa (61)	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ziziphus guatemalensis (62)	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ziziphus horsfieldii (63)	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ziziphus incurva (64)	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ziziphus mauritiana (65)	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ziziphus oenopolia (66)	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ziziphus poilaneo (67)	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ziziphus rotundifolia (68)	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ziziphus rugosa (69)	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ziziphus rugosa var. harmandii (70)	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ziziphus thyrsiflora (71)	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
