cluster.index	CF_componentindex	CF_kingdom	CF_superclass	CF_class	CF_subclass	CF_directparent	CF_substituents	CF_score	CF_kingdom_scores	CF_superclass_scores	CF_class_scores	CF_subclass_scores	CF_directparent_scores	CF_substituents_scores
388	82	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid-7-O-glycosides	Carboxylic acid derivative;Carboxylic acid ester;Glycosyl compound;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Oxane	1	1	0.96	0.92	0.92	0.56	0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023
1190	43	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavans	Catechins	1-hydroxy-2-unsubstituted benzenoid;1-hydroxy-4-unsubstituted benzenoid;Benzenoid;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxygen compound;Organooxygen compound;Oxacycle;Phenol;Polyol	1	1	0.833	0.5	0.444	0.222	0.038;0.035;0.035;0.038;0.033;0.035;0.035;0.029;0.035;0.033
594	43	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavans	Catechins	1-hydroxy-2-unsubstituted benzenoid;1-hydroxy-4-unsubstituted benzenoid;Benzenoid;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxygen compound;Organooxygen compound;Oxacycle;Phenol;Polyol	1	1	0.833	0.5	0.444	0.222	0.038;0.035;0.035;0.038;0.033;0.035;0.035;0.029;0.035;0.033
846	6	Organic compounds	Phenylpropanoids and polyketides	Lignan glycosides	none	Lignan glycosides	Alcohol;Benzenoid;Ether;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle	1	1	0.297	0.25	0.391	0.25	0.02;0.023;0.022;0.028;0.02;0.023;0.025;0.023;0.025;0.024
250	6	Organic compounds	Phenylpropanoids and polyketides	Lignan glycosides	none	Lignan glycosides	Alcohol;Benzenoid;Ether;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle	1	1	0.297	0.25	0.391	0.25	0.02;0.023;0.022;0.028;0.02;0.023;0.025;0.023;0.025;0.024
184	6	Organic compounds	Phenylpropanoids and polyketides	Lignan glycosides	none	Lignan glycosides	Alcohol;Benzenoid;Ether;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle	1	1	0.297	0.25	0.391	0.25	0.02;0.023;0.022;0.028;0.02;0.023;0.025;0.023;0.025;0.024
2184	6	Organic compounds	Phenylpropanoids and polyketides	Lignan glycosides	none	Lignan glycosides	Alcohol;Benzenoid;Ether;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle	1	1	0.297	0.25	0.391	0.25	0.02;0.023;0.022;0.028;0.02;0.023;0.025;0.023;0.025;0.024
966	6	Organic compounds	Phenylpropanoids and polyketides	Lignan glycosides	none	Lignan glycosides	Alcohol;Benzenoid;Ether;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle	1	1	0.297	0.25	0.391	0.25	0.02;0.023;0.022;0.028;0.02;0.023;0.025;0.023;0.025;0.024
1735	6	Organic compounds	Phenylpropanoids and polyketides	Lignan glycosides	none	Lignan glycosides	Alcohol;Benzenoid;Ether;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle	1	1	0.297	0.25	0.391	0.25	0.02;0.023;0.022;0.028;0.02;0.023;0.025;0.023;0.025;0.024
1756	6	Organic compounds	Phenylpropanoids and polyketides	Lignan glycosides	none	Lignan glycosides	Alcohol;Benzenoid;Ether;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle	1	1	0.297	0.25	0.391	0.25	0.02;0.023;0.022;0.028;0.02;0.023;0.025;0.023;0.025;0.024
1201	25	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Phenolic glycosides	Alcohol;Benzenoid;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Secondary alcohol	1	1	0.336	0.208	0.195	0.119	0.024;0.024;0.032;0.021;0.03;0.026;0.022;0.026;0.025;0.023
2029	25	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Phenolic glycosides	Alcohol;Benzenoid;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Secondary alcohol	1	1	0.336	0.208	0.195	0.119	0.024;0.024;0.032;0.021;0.03;0.026;0.022;0.026;0.025;0.023
497	25	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Phenolic glycosides	Alcohol;Benzenoid;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Secondary alcohol	1	1	0.336	0.208	0.195	0.119	0.024;0.024;0.032;0.021;0.03;0.026;0.022;0.026;0.025;0.023
267	25	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Phenolic glycosides	Alcohol;Benzenoid;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Secondary alcohol	1	1	0.336	0.208	0.195	0.119	0.024;0.024;0.032;0.021;0.03;0.026;0.022;0.026;0.025;0.023
738	25	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Phenolic glycosides	Alcohol;Benzenoid;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Secondary alcohol	1	1	0.336	0.208	0.195	0.119	0.024;0.024;0.032;0.021;0.03;0.026;0.022;0.026;0.025;0.023
601	25	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Phenolic glycosides	Alcohol;Benzenoid;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Secondary alcohol	1	1	0.336	0.208	0.195	0.119	0.024;0.024;0.032;0.021;0.03;0.026;0.022;0.026;0.025;0.023
1152	25	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Phenolic glycosides	Alcohol;Benzenoid;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Secondary alcohol	1	1	0.336	0.208	0.195	0.119	0.024;0.024;0.032;0.021;0.03;0.026;0.022;0.026;0.025;0.023
1496	25	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Phenolic glycosides	Alcohol;Benzenoid;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Secondary alcohol	1	1	0.336	0.208	0.195	0.119	0.024;0.024;0.032;0.021;0.03;0.026;0.022;0.026;0.025;0.023
726	25	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Phenolic glycosides	Alcohol;Benzenoid;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Secondary alcohol	1	1	0.336	0.208	0.195	0.119	0.024;0.024;0.032;0.021;0.03;0.026;0.022;0.026;0.025;0.023
1899	25	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Phenolic glycosides	Alcohol;Benzenoid;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Secondary alcohol	1	1	0.336	0.208	0.195	0.119	0.024;0.024;0.032;0.021;0.03;0.026;0.022;0.026;0.025;0.023
310	25	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Phenolic glycosides	Alcohol;Benzenoid;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Secondary alcohol	1	1	0.336	0.208	0.195	0.119	0.024;0.024;0.032;0.021;0.03;0.026;0.022;0.026;0.025;0.023
1853	25	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Phenolic glycosides	Alcohol;Benzenoid;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Secondary alcohol	1	1	0.336	0.208	0.195	0.119	0.024;0.024;0.032;0.021;0.03;0.026;0.022;0.026;0.025;0.023
1753	25	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Phenolic glycosides	Alcohol;Benzenoid;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Secondary alcohol	1	1	0.336	0.208	0.195	0.119	0.024;0.024;0.032;0.021;0.03;0.026;0.022;0.026;0.025;0.023
1356	25	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Phenolic glycosides	Alcohol;Benzenoid;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Secondary alcohol	1	1	0.336	0.208	0.195	0.119	0.024;0.024;0.032;0.021;0.03;0.026;0.022;0.026;0.025;0.023
880	25	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Phenolic glycosides	Alcohol;Benzenoid;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Secondary alcohol	1	1	0.336	0.208	0.195	0.119	0.024;0.024;0.032;0.021;0.03;0.026;0.022;0.026;0.025;0.023
